French,English
seulement,only
aide,help
mois,month
frère,brother
laisser,let
mettre,to put
eux,them
chaque,each
arrivé,come
heures,hours
aucune,any
place,square
parle,speak
pourrais,could
type,type
leurs,their
corps,body
endroit,place
écoute,listen
dont,whose
trouve,find
perdu,lost
main,hand
pouvoir,power
vieux,old
sois,be
tellement,so much
point,point
pardon,sorry
demandé,request
aimerais,would like to
aujourd'hui,today
arrêter,Stop
terre,Earth
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
jouer,to play
